symbol,latest_date,latest_close,avg_7d_close,avg_30d_close,latest_volume
AAPL,2026-02-27,264.17999267578125,267.8342851911272,263.55833333333334,72239400
BTC-USD,2026-03-01,65738.1015625,66103.77678571429,69046.640234375,40733141929
ETH-USD,2026-03-01,1939.066650390625,1946.3959786551338,2034.0563435872396,23649071468
GC=F,2026-02-27,5230.5,5144.157087053572,4979.476643880208,1520
SPY,2026-02-27,685.989990234375,687.441423688616,688.546327718099,83105100
TSLA,2026-02-27,402.510009765625,408.7471400669643,420.5433319091797,56760900
